variable	value	label
680	21	25.22	E 11 Street & 2 Avenue
681	23	15.09	E 11 Street & 2 Avenue
682	18	5.29	E 11 Street & 2 Avenue
683	17	0.55	E 11 Street & 2 Avenue
684	8	0	E 11 Street & 2 Avenue
685	5	12.09	E 11 Street & 2 Avenue
686	9	0.11	E 11 Street & 2 Avenue
687	4	16.01	E 11 Street & 2 Avenue
688	11	0	E 11 Street & 2 Avenue
689	16	0	E 11 Street & 2 Avenue
690	14	0	E 11 Street & 2 Avenue
691	15	0	E 11 Street & 2 Avenue
692	1	11.05	E 11 Street & 2 Avenue
693	0	13.56	E 11 Street & 2 Avenue
694	22	20.61	E 11 Street & 2 Avenue
695	12	0	E 11 Street & 2 Avenue
696	13	0	E 11 Street & 2 Avenue
697	15	0	Bank St & Washington St
698	10	0	Bank St & Washington St
699	20	31.54	Bank St & Washington St
700	17	2.85	Bank St & Washington St
701	11	0.11	Bank St & Washington St
702	1	10.94	Bank St & Washington St
703	12	0	Bank St & Washington St
704	16	0	Bank St & Washington St
705	23	15.54	Bank St & Washington St
706	8	0	Bank St & Washington St
707	19	34.65	Bank St & Washington St
708	14	0.33	Bank St & Washington St
709	18	15.44	Bank St & Washington St
710	21	28.95	Bank St & Washington St
711	2	13.11	Bank St & Washington St
712	5	6.32	Bank St & Washington St
713	9	0.11	Bank St & Washington St
